ZTSJ6537120: 48.682.994/3446-75<->74.191.138/6225-74
CIDU8064363: 2830Kg (13%)
XJSZ5778732: 2833Kg (13%)
TBUU9572910: 2543Kg (13%)
XAHU7589055: 1633Kg (13%)
MMUU6241659: 2453Kg (13%)
XTFU3905749: 2272Kg (13%)
WVFZ0834900: 3134Kg (13%)
LUPJ8785643: 1962Kg (13%)
VAYU5525398: 1506Kg (13%)
NTNZ2981409: 3221Kg (13%)
VAGZ5953968: 1665Kg (13%)
DSFZ6477296: 2541Kg (13%)
TUZU6279201: 3368Kg (13%)
ZBBJ7882139: 1382Kg (13%)
SFWU6972000: 1779Kg (13%)
PUUU7850697: 2419Kg (13%)
NHBZ0249556: 2929Kg (13%)
JCLU1323823: 3151Kg (13%)
ZLRZ8036488: 2626Kg (13%)
USPU1157099: 2942Kg (13%)
CIUJ7169377: 2069Kg (13%)
KUGJ3080827: 3385Kg (13%)
ZPLU1314319: 2801Kg (13%)
QYCJ0507416: 2170Kg (13%)
JJXU0846995: 1534Kg (13%)
BYIJ6544327: 1499Kg (13%)
CGZJ5397973: 1605Kg (13%)
UDVZ9656254: 3142Kg (13%)
EZHU2325857: 3080Kg (13%)
OXFJ5344254: 2460Kg (13%)
VDLU7280889: 2910Kg (13%)
JKXZ7235531: 1472Kg (13%)
KTOZ7134034: 3432Kg (13%)
TDDZ7448466: 3190Kg (13%)
GZNU2572693: 2948Kg (13%)
OVFU4810156: 2669Kg (13%)
LXAJ0899223: 2322Kg (13%)
REGZ4629973: 2383Kg (13%)
QNRU6317599: 2878Kg (13%)
LWAU9491086: 2426Kg (13%)
KGJZ9828877: 2489Kg (13%)
MDGJ7079895: 2135Kg (13%)
NWHU2832284: 2479Kg (13%)
IQOZ3332547: 2827Kg (13%)
GGBZ8711005: 2151Kg (13%)
SUNZ8468264: 3451Kg (13%)
QULU6596195: 1311Kg (13%)
LLAU0302083: 3324Kg (13%)
WKUU2427804: 3195Kg (13%)
FEGU3854367: 2531Kg (13%)
LGQZ7975673: 3129Kg (13%)
PGRU2223071: 2450Kg (13%)
GWMZ1193150: 2695Kg (13%)
FSZJ4066558: 2929Kg (13%)
YHWJ2748924: 1929Kg (13%)
HWDU7262667: 1958Kg (13%)
EXMZ6190970: 1710Kg (13%)
XPVZ9805439: 3148Kg (13%)
CASZ6167479: 2846Kg (13%)
NFLZ1081765: 3255Kg (13%)
KTBZ3218415: 2543Kg (13%)
AUOU2867737: 3292Kg (13%)
IVFJ8309804: 3140Kg (13%)
NMHZ3467407: 2698Kg (13%)
POXZ2371478: 2034Kg (13%)
KJXJ2454609: 2448Kg (13%)
ARBJ3626261: 2557Kg (13%)
WAVZ8392901: 2825Kg (13%)
XGCZ9747669: 1609Kg (13%)
AMXZ1657333: 2849Kg (13%)
KVFJ6110510: 2354Kg (13%)
EIGU4649802: 3426Kg (13%)
WNQU3957908: 3094Kg (13%)
XRJJ4597356: 2485Kg (13%)
QZDJ0658555: 3149Kg (13%)
YHRU7034932: 2289Kg (12%)
QTKU9008168: 1826Kg (12%)
JFNJ6761162: 3215Kg (12%)
LWLU5930417: 1757Kg (12%)
QIGJ8266799: 2930Kg (12%)
VVCZ3532679: 1943Kg (12%)
JZBZ6852040: 2444Kg (12%)
QUMU9186628: 3090Kg (12%)
IKHZ6580755: 2714Kg (12%)
VQRZ5896943: 1981Kg (12%)
OSHJ9411713: 2665Kg (12%)
WWIU0938384: 2838Kg (12%)
CTMJ1834773: 2955Kg (12%)
WGYU7447645: 2982Kg (12%)
QBDJ9322662: 2246Kg (12%)
RWDJ5099882: 2697Kg (12%)
GZTZ9346699: 1776Kg (12%)
CNSU9172130: 2251Kg (12%)
THMZ9812299: 2757Kg (12%)
MKAU8665857: 3114Kg (12%)
GMPU8375009: 2252Kg (12%)
GYJJ5285041: 1964Kg (12%)
EACZ8118628: 1817Kg (12%)
LTQZ4422481: 2471Kg (12%)
TSDJ9638954: 1744Kg (12%)
BTXZ5176505: 1976Kg (12%)
PYFJ4987441: 1419Kg (12%)
CXUU3239620: 1366Kg (12%)
PSUU5349832: 2873Kg (12%)
LACJ0193853: 2753Kg (12%)
VOWU2849738: 3180Kg (12%)
WPCZ0734942: 1982Kg (12%)
FOZZ3338087: 2306Kg (12%)
RGAZ7377531: 2991Kg (12%)
DCBZ5980562: 2852Kg (12%)
QAPJ3588224: 2895Kg (12%)
BDQZ5828023: 2850Kg (12%)
TPIU9682601: 2205Kg (12%)
GRCZ1276324: 3015Kg (12%)
ZZGJ6331619: 3222Kg (12%)
IXFZ5948028: 2364Kg (12%)
IWKZ2998496: 2210Kg (12%)
XAYU3798596: 2047Kg (12%)
MVQJ3557322: 2615Kg (12%)
PVXJ7235863: 1667Kg (12%)
FALJ7521755: 2863Kg (12%)
LRIZ1511645: 2488Kg (12%)
PGEZ6585071: 1703Kg (12%)
ZFQU9342428: 1499Kg (12%)
GXHZ0998168: 2754Kg (12%)
DNUU5719756: 2164Kg (12%)
ULXZ0318459: 2471Kg (12%)
FKEJ8361311: 1362Kg (12%)
IRDZ5920126: 3092Kg (12%)
HZSZ1408984: 3118Kg (12%)
MIUU4277173: 2158Kg (12%)
KKNJ1907129: 1979Kg (12%)
YUTU2351023: 3099Kg (12%)
WVLZ0053214: 3149Kg (12%)
QKFJ2663327: 1580Kg (12%)
BHDU1067779: 3206Kg (12%)
FUWJ7490660: 2830Kg (12%)
MGMJ7911167: 2135Kg (12%)
YKMJ3047102: 3025Kg (12%)
IFIU9206567: 1819Kg (12%)
PUZZ5911028: 3152Kg (12%)
CYDU3060471: 1329Kg (12%)
NQLZ4434170: 2673Kg (12%)
URKU8494595: 2152Kg (12%)
YZIU9016538: 2849Kg (12%)
NEMJ0131490: 2022Kg (12%)
YVMZ4893510: 2817Kg (12%)
DITZ8227407: 2875Kg (12%)
LNFZ9281332: 1254Kg (12%)
BLYJ5019252: 2808Kg (12%)
MXPJ1888350: 3037Kg (12%)
DEVZ8461632: 2085Kg (12%)
QYEU0952285: 3029Kg (12%)
QXAZ0537539: 2879Kg (12%)
FJYZ8799600: 2929Kg (12%)
LJLZ3969308: 3088Kg (12%)
CJSZ1584115: 2975Kg (12%)
PJQU4209284: 3117Kg (12%)
DYCZ1166661: 3180Kg (12%)
CHPJ0651100: 1707Kg (12%)
VTIU6625554: 2156Kg (12%)
HUUZ7640596: 2235Kg (12%)
AFLU1315887: 2862Kg (12%)
AWYZ0252653: 2486Kg (12%)
WHWU3924091: 1237Kg (12%)
UCAJ1847811: 2120Kg (12%)
PHAU8100917: 1404Kg (12%)
VJBZ4081845: 2938Kg (12%)
QBMU7058236: 3217Kg (12%)
FQDU5643407: 2500Kg (12%)
TOJU0309510: 2326Kg (12%)
EAKU3045365: 2588Kg (12%)
ZVXZ9850499: 3038Kg (12%)
MIYZ1821570: 2841Kg (12%)
KPLJ8210497: 1244Kg (12%)
DDMJ4429604: 1318Kg (12%)
WPZZ0269911: 1860Kg (12%)
DFJJ7009128: 2245Kg (12%)
WNWJ6195405: 3181Kg (12%)
EOMJ4805482: 2887Kg (12%)
RXHJ0496648: 1562Kg (12%)
QWVZ6265352: 2501Kg (12%)
PXAZ7486113: 2222Kg (12%)
KOWZ4870165: 2318Kg (11%)
WYBZ1501776: 2302Kg (11%)
DEJU8174809: 1555Kg (11%)
IJYZ8902857: 1367Kg (11%)
VQNU2589227: 1513Kg (11%)
IHPZ8549468: 2696Kg (11%)
BHWZ7816992: 1398Kg (11%)
QNVU3268928: 2853Kg (11%)
KRPJ3299762: 2838Kg (11%)
UDTJ2963935: 1309Kg (11%)
OYOZ3930661: 1363Kg (11%)
XUUJ4464270: 2520Kg (11%)
QRHU3455434: 1859Kg (11%)
GKNZ9388405: 1569Kg (11%)
CASU4961410: 1618Kg (11%)
CXUJ7792091: 1105Kg (11%)
LFRJ8431666: 2237Kg (11%)
TBUJ1203529: 2354Kg (11%)
SCLJ2542745: 2402Kg (11%)
PKFJ5027968: 2058Kg (11%)
IMUU7636748: 2635Kg (11%)
VLDZ3063849: 1529Kg (11%)
TYVU8375554: 1686Kg (11%)
ROAJ2307799: 2123Kg (11%)
WTBU2374395: 2403Kg (11%)
DTZU3355136: 2358Kg (11%)
MJGU8649846: 1974Kg (11%)
GAZJ9780702: 2776Kg (11%)
IPHJ2439534: 2160Kg (11%)
YNQZ5412295: 1549Kg (11%)
BIJU8564575: 1306Kg (11%)
LZIJ0331272: 2503Kg (11%)
AACZ9873249: 1584Kg (11%)
VZBU4601020: 1811Kg (11%)
WNQJ2052836: 2733Kg (11%)
AFAZ5658093: 1786Kg (11%)
WCKU5687626: 2847Kg (11%)
AMEU9472369: 2339Kg (11%)
VMDJ9899737: 1912Kg (11%)
ADEZ6001636: 2974Kg (11%)
OZSZ6163221: 2279Kg (11%)
JUPJ4459972: 1635Kg (11%)
ZXQZ0172103: 2575Kg (11%)
WKCJ8896840: 2300Kg (11%)
ICBU6954216: 2751Kg (11%)
EEOU1005125: 2783Kg (11%)
WBWU8321589: 2119Kg (11%)
TGZU6066269: 2525Kg (11%)
PJFU2545014: 2784Kg (11%)
FMQJ2656070: 1736Kg (11%)
CIGJ6209360: 1461Kg (11%)
ITSU1692053: 2072Kg (11%)
GIWZ3064476: 2818Kg (11%)
WHKJ9558355: 2038Kg (11%)
NRJZ4784624: 1375Kg (11%)
LZIJ4624101: 2434Kg (11%)
DFJZ3400824: 1397Kg (11%)
ISEJ2709448: 2248Kg (11%)
FTWJ2913345: 2802Kg (11%)
COMJ9277079: 2513Kg (11%)
IEKZ9397338: 2920Kg (11%)
TMSZ7403760: 2190Kg (11%)
ITGU8508903: 1657Kg (11%)
DFTU2815618: 2906Kg (11%)
RSUJ2884932: 2068Kg (11%)
FMHJ4621884: 2976Kg (11%)
UEIZ5190256: 1875Kg (11%)
KXHZ7602923: 2858Kg (11%)
IFNU9977456: 1523Kg (11%)
LZDZ0602988: 1934Kg (11%)
KAMZ4984283: 1135Kg (11%)
HFOZ4959909: 1806Kg (11%)
TSFU4584790: 2810Kg (11%)
YKHJ1934464: 2077Kg (11%)
TRJU1988494: 1505Kg (11%)
AMXJ3228058: 2194Kg (11%)
QRYZ5826578: 1869Kg (11%)
ZILJ9202429: 1595Kg (11%)
ZXMJ3242708: 1767Kg (11%)
OUGJ6360869: 1564Kg (11%)
JNHU0414194: 2981Kg (11%)
SOUZ8953766: 1366Kg (11%)
RNDZ9765295: 1664Kg (11%)
JCEU2536984: 2729Kg (11%)
DXIU8884277: 2714Kg (11%)
JORU4695943: 2025Kg (11%)
FXSJ9021660: 2651Kg (11%)
RXUU5289072: 2131Kg (11%)
QAYU5376133: 2472Kg (11%)
IREZ7686239: 2243Kg (11%)
IHMJ5138246: 2871Kg (11%)
UQMU0325523: 1535Kg (11%)
KVRJ7346808: 1074Kg (11%)
GJRJ4156340: 2768Kg (11%)
DLZZ3942725: 1516Kg (11%)
OQTZ4680168: 2963Kg (11%)
ZXMJ8587968: 3015Kg (11%)
YDXZ1581270: 1628Kg (11%)
JGMJ3517647: 2060Kg (11%)
WSEZ1069463: 2848Kg (11%)
EADU0835431: 1100Kg (11%)
TQSJ9614401: 2043Kg (11%)
GWOU2534083: 2566Kg (11%)
UIVZ0653444: 2241Kg (11%)
RWSJ0535383: 2446Kg (11%)
PFBZ5063540: 2489Kg (11%)
FCXJ7106784: 2783Kg (11%)
GLXU6716128: 2205Kg (11%)
IWGZ3243991: 2077Kg (11%)
OBQJ9852287: 1526Kg (11%)
VGYU5991794: 1446Kg (11%)
JBUZ0144390: 2643Kg (11%)
SYKU4769707: 1536Kg (11%)
